StudyName,Type,Tmin(K),Tmax(K),Pmin(GPa),Pmax(GPa),WCalib,Mg#,sigma_i(log[S/m]),sigma_i_err,h_i(j/mol),h_i_err,sigma_pol(log[S/m]),sigma_pol_err,h_pol(j/mol),h_pol_err,sigma_p(log[S/m]),sigma_p_err,h_p(j/mol),h_p_err,r,r_err,alpha_p(j/mol),alpha_p_err,wtype,dens_mat
Dai2014_WetOlivine_fo2,3,573,1373,1,8,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3300
Dai2020_WetOlivine_200ppmTi_fo2,3,573,1373,4,4,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3300
Dai2020_WetOlivine_683ppmTi_fo2,3,573,1373,4,4,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3300
Gardes2014_WetOlivine,1,500,2000,1,10,2,91,5.07,1.32,239000,46000,2.34,0.67,144000,16000,-1.17,0.45,89000,7000,1,0,2080,550,1,3300
Jones2012_WetOlivine,1,1013,1123,0,0,1,91,0,0,0,0,0,0,0,0,3.05,0.16,91000,3000,0.86,0.08,90,80,0,3300
Poe2010_WetOlivine,3,773,1709,8,8,1,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3300
Wang2006_WetOlivine,1,873,1273,4,4,0,91,0,0,0,0,2.4,0,154000,0,3,0.4,87000,5000,0.62,0.15,0,0,0,3300
Yoshino2009_WetOlivine,1,500,2000,10,10,0,91,4.73,0.53,231000,7000,2.98,0.85,171000,4000,1.9,0.44,92000,4000,1,0,160,20,0,3300
Constable2006_dryOlivine_fo2,3,1273,1573,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3300
Dai2014_DryOlivine_param1_xfe,3,873,1473,4,4,0,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3300
Sun2021_chr_4perc,0,873,1223,2,2,0,89,0,0,0,0,0.62,0.03,78000,2000,0,0,0,0,0,0,0,0,0,3300
Sun2021_chr_7perc,0,873,1223,2,2,0,89,0,0,0,0,0.93,0.08,83000,1000,0,0,0,0,0,0,0,0,0,3300
Sun2021_chr_10perc,0,873,1223,2,2,0,89,0,0,0,0,1.27,0.08,87000,1000,0,0,0,0,0,0,0,0,0,3300
Sun2021_chr_13perc,0,873,1223,2,2,0,89,0,0,0,0,1.54,0.1,79000,1000,0,0,0,0,0,0,0,0,0,3300
Sun2021_chr_16perc,0,873,1223,2,2,0,89,0,0,0,0,1.48,0.04,54000,1000,0,0,0,0,0,0,0,0,0,3300
Sun2021_chr_18perc,0,873,1223,2,2,0,89,0,0,0,0,1.68,0.01,48000,1000,0,0,0,0,0,0,0,0,0,3300
Sun2021_chr_23perc,0,873,1223,2,2,0,89,0,0,0,0,2.52,0.03,51000,1000,0,0,0,0,0,0,0,0,0,3300
Dai2019b_DryOlivine_magnetite_3perc,0,873,1273,2,2,0,89,0,0,0,0,0.28,0.03,21000,2000,0,0,0,0,0,0,0,0,0,3300
Dai2019b_DryOlivine_magnetite_5perc,0,873,1273,2,2,0,89,0,0,0,0,0.49,0.02,13000,1000,0,0,0,0,0,0,0,0,0,3300
Dai2019b_DryOlivine_magnetite_7perc,0,873,1273,2,2,0,89,0,0,0,0,1.97,0.01,20000,2000,0,0,0,0,0,0,0,0,0,3300
Dai2019b_DryOlivine_magnetite_10perc,0,873,1273,2,2,0,89,0,0,0,0,1.72,0.03,15000,1000,0,0,0,0,0,0,0,0,0,3300
Dai2019b_DryOlivine_magnetite_20perc,0,873,1273,2,2,0,89,0,0,0,0,2.4,0.02,6000,1000,0,0,0,0,0,0,0,0,0,3300
Fullea2011_DryOlivine_param1_xfe,3,1000,1573,2.9,4,0,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3300
Pommier2018_ShearedDryOlivine,3,923,1573,2.8,2.8,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3300
Xu1998_DryOlivine,0,1273,1673,4,4,0,0.91,0,0,0,0,2.69,0.17,162000,4000,0,0,0,0,0,0,0,0,0,3300
Yoshino2012_DryOlivine_param1_xfe,3,900,1600,1,18,0,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3300
Zhang2017_DryOlivine_FeMixture_15perc,0,1675,1675,6,6,0,91,0,0,0,0,1.0149,0,39420,310,0,0,0,0,0,0,0,0,0,3300
Zhang2017_DryOlivine_FeMixture_10perc,0,1675,1675,6,6,0,91,0,0,0,0,1.2866,0,55710,550,0,0,0,0,0,0,0,0,0,3300
Zhang2017_DryOlivine_FeMixture_12perc,0,1675,1675,6,6,0,91,0,0,0,0,0.975,0,47400,180,0,0,0,0,0,0,0,0,0,3300
Zhang2017_DryOlivine_FeMixture_1,0,1675,1675,6,6,0,91,0,0,0,0,0.9566,0,83030,380,0,0,0,0,0,0,0,0,0,3300
