StudyName,Type,Tmin,Tmax,Pmin,Pmax,WCalib,Mg#,sigma_i,sigma_i_err,h_i,h_i_err,sigma_pol,sigma_pol_err,h_pol,h_pol_err,sigma_p,sigma_p_err,h_p,h_p_err,r,r_err,alpha_p,alpha_p_err,wtype,dens_mat,mat_ref,comp_ref,mechanisms,reference
Sifre2014_Wet_Carbonated,3,1473,1923,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2800,melt,None,NaN,Sifre2014_Wet_Carbonated
Pommier2008_WetBasalt_Na,3,1473,1923,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2800,melt,None,NaN,Pommier2008_WetBasalt_Na
Ni2011_WetBasalt,3,1473,1923,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2800,melt,None,NaN,Ni2011_WetBasalt
Scarlato2004_DryBasalt,0,400,800,0.9,0.9,0,0,0,0,0,0,2.489,0,82000,0,0,0,0,0,0,0,0,0,0,2800,melt,None,NaN,Scarlato2004_DryBasalt
TyburczyWaff1983_DryTholeiite,3,1300,1900,0.43,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2800,melt,None,NaN,TyburczyWaff1983_Basalts
TyburczyWaff1983_DryAndesite,3,1300,1900,0.43,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2800,melt,None,NaN,TyburczyWaff1983_Basalts
Guo2017_WetAndesite,3,1164,1573,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2800,melt,None,NaN,Guo2017_WetAndesite
Laumonier2017_WetAndesite,3,1235,1655,0.5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2800,melt,None,NaN,Laumonier2017_WetAndesite
Laumonier2015_WetDacite,3,673,1544,0.15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2800,melt,None,NaN,Laumonier2015_Dacite
Gaillard2004_WetRhyolite,3,623,1598,0.05,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2800,melt,None,NaN,Gaillard2004_WetRhyolite
Guo2016_WetRhyolite,3,673,1544,0.36,2.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2800,melt,None,NaN,Guo2016_WetRhyolite
Chen2018_WetGranite,3,739,1578,0.15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2800,melt,None,NaN,Chen2018_WetGranite
Guo2018_WetGranite,3,873,1573,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2800,melt,None,NaN,Guo2018_WetGranite
