StudyName,Type,Tmin,Tmax,Pmin,Pmax,WCalib,Mg#,sigma_i,sigma_i_err,h_i,h_i_err,sigma_pol,sigma_pol_err,h_pol,h_pol_err,sigma_p,sigma_p_err,h_p,h_p_err,r,r_err,alpha_p,alpha_p_err,wtype,dens_ref,mat_ref,comp_ref,mechanisms,reference
Dai2009_DryandWetPyropeGarnet,3,873,1473,4,16,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,py,py,NaN,polaron+proton,Dai2009_DryandWetPyropeGarnet
Dai2012_DryPyrope73Almandine14,0,873,1273,2,2,0,73,0,0,0,0,2.69,0,137000,0,0,0,0,0,0,0,0,0,0,py,py,NaN,polaron,Dai2012_DryPyrope73Almandine14
Fullea2011_DryGarnet_xFe,3,1000,1573,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,py,py,NaN,polaron,Fullea2011
Romano2006_DryPyrope,0,1573,1973,10,10,0,100,0,0,0,0,2.6683,0,256000,0,0,0,0,0,0,0,0,0,0,py,py,NaN,polaron,Romano2006
Romano2006_DryPyrope85Almandine15,0,1223,1823,10,10,0,85,0,0,0,0,2.4183,0,150000,0,0,0,0,0,0,0,0,0,0,py,py,NaN,polaron,Romano2006
Romano2006_DryPyrope60Almandine40,0,973,1673,10,10,0,60,0,0,0,0,3.143,0,126000,0,0,0,0,0,0,0,0,0,0,py,py,NaN,polaron,Romano2006
Romano2006_DryPyrope40Almandine60,0,873,1273,10,10,0,40,0,0,0,0,2.8129,0,67000,0,0,0,0,0,0,0,0,0,0,alm,alm,NaN,polaron,Romano2006
Romano2006_DryPyrope20Almandine80,0,673,873,10,10,0,20,0,0,0,0,3.344,0,56000,0,0,0,0,0,0,0,0,0,0,alm,alm,NaN,polaron,Romano2006
Romano2006_DryAlmandine,0,673,873,10,10,0,0,0,0,0,0,4.3944,0,68000,0,0,0,0,0,0,0,0,0,0,py,py,NaN,polaron,Romano2006
Romano2006_DryPyrope_VeryHighPressure,0,1173,1923,19,19,0,100,0,0,0,0,0.409,0,57000,0,0,0,0,0,0,0,0,0,0,py,py,NaN,polaron,Romano2006
Romano2006_DryPyrope85Almandine15_VeryHighPressure,0,1173,1923,19,19,0,85,0,0,0,0,1.5211,0,91000,0,0,0,0,0,0,0,0,0,0,py,py,NaN,polaron,Romano2006
Romano2006_DryPyrope60Almandine40_VeryHighPressure,0,1173,1813,19,19,0,60,0,0,0,0,2.1903,0,89000,0,0,0,0,0,0,0,0,0,0,py,py,NaN,polaron,Romano2006
Dai2012_DryPyrope56Almandine43,0,873,1273,2,2,0,73,0,0,0,0,2.773,0,135000,0,0,0,0,0,0,0,0,0,0,py,py,NaN,polaron,Dai2012_DryPyrope73Almandine14
Dai2012_DryPyrope30Almandine67,0,873,1273,2,2,0,73,0,0,0,0,2.867,0,134000,0,0,0,0,0,0,0,0,0,0,alm,alm,NaN,polaron,Dai2012_DryPyrope73Almandine14
Dai2012_DryPyrope20Almandine76,0,873,1273,2,2,0,73,0,0,0,0,2.992,0,132000,0,0,0,0,0,0,0,0,0,0,alm,alm,NaN,polaron,Dai2012_DryPyrope73Almandine14
Liu2019_WetAlmandineGarnet,1,350,800,1,1,1,30,0,0,0,0,0,0,0,0,4.37,0.24,90000,2000,1.07,0.09,0,0,0,alm,alm,NaN,proton,Liu2019
Liu2021_WetAlmandineGarnet_xFe,3,623,1073,1,1,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,alm,alm,NaN,proton,Liu2022
Liu2022_WetAlmandine,1,623,973,1,1,0,73,0,0,0,0,0,0,0,0,4.02,0.11,84000,1000,1.12,0.08,0,0,0,alm,alm,NaN,proton,Liu2022
Yoshino2008_DryMajorite,0,700,2000,18,23,0,90,0,0,0,0,3.098,0,138000,0,0,0,0,0,0,0,0,0,0,gr,gr,NaN,polaron,Yoshino2008_DryMajorite
