StudyName,Type,Tmin,Tmax,Pmin,Pmax,WCalib,Mg#,sigma_i,sigma_i_err,h_i,h_i_err,sigma_pol,sigma_pol_err,h_pol,h_pol_err,sigma_p,sigma_p_err,h_p,h_p_err,r,r_err,alpha_p,alpha_p_err,wtype,dens_mat,mat_ref,comp_ref,mechanisms,reference
Sun2022_Olivine-Ilmenite_Ilm4perc,0,773,1273,2,2,0,91,0,0,0,0,0.93,0.08,89000,2000,0,0,0,0,0,0,0,0,0,3376,fo,NaN,polaron,Sun2022_Olivine_Ilmenite
Sun2022_Olivine-Ilmenite_Ilm7perc,0,773,1273,2,2,0,91,0,0,0,0,1.14,0.04,80000,1000,0,0,0,0,0,0,0,0,0,3418,fo,NaN,polaron,Sun2022_Olivine_Ilmenite
Sun2022_Olivine-Ilmenite_Ilm10perc,0,773,1273,2,2,0,91,0,0,0,0,0.65,0.05,62000,1000,0,0,0,0,0,0,0,0,0,3460,fo,NaN,polaron,Sun2022_Olivine_Ilmenite
Sun2022_Olivine-Ilmenite_Ilm11perc,0,773,1273,2,2,0,91,0,0,0,0,0.34,0.01,20000,1000,0,0,0,0,0,0,0,0,0,3474,fo,NaN,polaron,Sun2022_Olivine_Ilmenite
Sun2022_Olivine-Ilmenite_Ilm15perc,0,773,1273,2,2,0,91,0,0,0,0,1.12,0.01,15000,1000,0,0,0,0,0,0,0,0,0,3530,fo,NaN,polaron,Sun2022_Olivine_Ilmenite
Zhang2017_DryOlivine_FeMixture_13perc,0,1675,1675,6,6,0,91,0,0,0,0,1.0149,0,39420,310,0,0,0,0,0,0,0,0,0,3300,fo,NaN,polaron,Zhang2017_Olivine_FeS
Zhang2017_DryOlivine_FeMixture_10perc,0,1675,1675,6,6,0,91,0,0,0,0,1.2866,0,55710,550,0,0,0,0,0,0,0,0,0,3300,fo,NaN,polaron,Zhang2017_Olivine_FeS
Zhang2017_DryOlivine_FeMixture_10_5perc,0,1675,1675,6,6,0,91,0,0,0,0,0.975,0,47400,180,0,0,0,0,0,0,0,0,0,3300,fo,NaN,polaron,Zhang2017_Olivine_FeS
Zhang2017_DryOlivine_FeSMixture_10perc,0,1675,1675,6,6,0,91,0,0,0,0,-0.1938,0,26490,0,0,0,0,0,0,0,0,0,0,3300,fo,NaN,polaron,Zhang2017_Olivine_FeS
Dai2019b_DryOlivine_magnetite_3perc,0,873,1273,2,2,0,89,0,0,0,0,0.28,0.03,21000,2000,0,0,0,0,0,0,0,0,0,3374,fo,NaN,polaron,Dai2019_Olivine_Magnetite
Dai2019b_DryOlivine_magnetite_5perc,0,873,1273,2,2,0,89,0,0,0,0,0.49,0.02,13000,1000,0,0,0,0,0,0,0,0,0,3411,fo,NaN,polaron,Dai2019_Olivine_Magnetite
Dai2019b_DryOlivine_magnetite_7perc,0,873,1273,2,2,0,89,0,0,0,0,1.97,0.01,20000,2000,0,0,0,0,0,0,0,0,0,3448,fo,NaN,polaron,Dai2019_Olivine_Magnetite
Dai2019b_DryOlivine_magnetite_10perc,0,873,1273,2,2,0,89,0,0,0,0,1.72,0.03,15000,1000,0,0,0,0,0,0,0,0,0,3503,fo,NaN,polaron,Dai2019_Olivine_Magnetite
Dai2019b_DryOlivine_magnetite_20perc,0,873,1273,2,2,0,89,0,0,0,0,2.4,0.02,6000,1000,0,0,0,0,0,0,0,0,0,3686,fo,NaN,polaron,Dai2019_Olivine_Magnetite
Sun2021_DryOlivineChromiteMixture_4perc,0,873,1223,2,2,0,89,0,0,0,0,0.62,0.03,78000,2000,0,0,0,0,0,0,0,0,0,3378,fo,NaN,polaron,Sun2021_Olivine_Chromite
Sun2021_DryOlivineChromiteMixture_7perc,0,873,1223,2,2,0,89,0,0,0,0,0.93,0.08,83000,1000,0,0,0,0,0,0,0,0,0,3422,fo,NaN,polaron,Sun2021_Olivine_Chromite
Sun2021_DryOlivineChromiteMixture_10perc,0,873,1223,2,2,0,89,0,0,0,0,1.27,0.08,87000,1000,0,0,0,0,0,0,0,0,0,3467,fo,NaN,polaron,Sun2021_Olivine_Chromite
Sun2021_DryOlivineChromiteMixture_13perc,0,873,1223,2,2,0,89,0,0,0,0,1.54,0.1,79000,1000,0,0,0,0,0,0,0,0,0,3511,fo,NaN,polaron,Sun2021_Olivine_Chromite
Sun2021_DryOlivineChromiteMixture_16perc,0,873,1223,2,2,0,89,0,0,0,0,1.48,0.04,54000,1000,0,0,0,0,0,0,0,0,0,3555,fo,NaN,polaron,Sun2021_Olivine_Chromite
Sun2021_DryOlivineChromiteMixture_18perc,0,873,1223,2,2,0,89,0,0,0,0,1.68,0.01,48000,1000,0,0,0,0,0,0,0,0,0,3584,fo,NaN,polaron,Sun2021_Olivine_Chromite
Sun2021_DryOlivineChromiteMixture_23perc,0,873,1223,2,2,0,89,0,0,0,0,2.52,0.03,51000,1000,0,0,0,0,0,0,0,0,0,3658,fo,NaN,polaron,Sun2021_Olivine_Chromite
Manthilake2016_ChloriteMagnetiteMixture_13perc,0,623,948,2,2,0,89,0,0,0,0,1.166,0.3,15000,1000,0,0,0,0,0,0,0,0,0,3490,clin,NaN,polaron,Manthilake_2016_Chlorite
