StudyName,Type,Tmin(K),Tmax(K),Pmin(GPa),Pmax(GPa),WCalib,Mg#,sigma_i(log[S/m]),sigma_i_err,h_i(j/mol),h_i_err,sigma_pol(log[S/m]),sigma_pol_err,h_pol(j/mol),h_pol_err,sigma_p(log[S/m]),sigma_p_err,h_p(j/mol),h_p_err,r,r_err,alpha_p(j/mol),alpha_p_err,wtype,dens_mat,mat_ref,comp_ref,mechanisms,reference
Dai2014_DryandWetOlivine_fo2,3,573,1373,1,8,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fo,fo,NaN,polaron+proton,Dai2014_DryandWetOlivine_fo2
Dai2020_WetOlivine_200ppmTi_fo2,3,573,1373,4,4,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fo,fo,NaN,polaron+proton,Dai2020_WetOlivine_Ti
Dai2020_WetOlivine_683ppmTi_fo2,3,573,1373,4,4,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fo,fo,NaN,polaron+proton,Dai2020_WetOlivine_Ti
Fei2020_WetOlivineIonic_Isotropic,3,1450,2180,2,10,2,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,fo,fo,NaN,ionicWet,Fei2020_WetOlivineIonic_Isotropic
Gardes2014_DryandWetOlivine,1,500,2000,1,10,2,91,5.07,1.32,239000,46000,2.34,0.67,144000,16000,-1.17,0.45,89000,7000,1,0,2080,550,1,fo,fo,NaN,ionic+polaron+proton,Gardes2014_DryandWetOlivine
Jones2012_WetOlivine,1,1013,1123,0,0,1,91,0,0,0,0,0,0,0,0,3.05,0.16,91000,3000,0.86,0.08,90,80,0,fo,fo,NaN,proton,Jones2012_WetOlivine
Liu2021_DryOlivine_NNOBuffer,0,873,1473,1,3,0,91,0,0,0,0,3.21,0.06,135000,2000,0,0,0,0,0,0,0,0,0,fo,fo,NaN,polaron,Liu2021_DryOlivine_NNOBuffer
Poe2010_DryandWetOlivine,3,773,1709,8,8,1,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fo,fo,NaN,polaron+proton,Poe2010_DryandWetOlivine
Wang2006_DryandWetOlivine,1,873,1273,4,4,0,91,0,0,0,0,2.4,0,154000,0,3,0.4,87000,5000,0.62,0.15,0,0,0,fo,fo,NaN,polaron+proton,Wang2006_DryandWetOlivine
Yoshino2009_DryandWetOlivine,1,500,2000,10,10,0,91,4.73,0.53,231000,7000,2.98,0.85,171000,4000,1.9,0.44,92000,4000,1,0,160,20,0,fo,fo,NaN,ionic+polaron+proton,Yoshino2009_DryandWetOlivine
Constable2006_dryOlivine_fo2,3,1273,1573,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fo,fo,NaN,polaron,Constable2006_dryOlivine_fo2
Dai2014_DryOlivine_xFe,3,873,1473,4,4,0,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fo,fo,NaN,polaron,Dai2014_DryOlivine_xFe
Fullea2011_DryOlivine_xFe,3,1000,1573,2.9,4,0,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fo,fo,NaN,polaron,Fullea2011
Pommier2018_ShearedDryOlivine,3,923,1573,2.8,2.8,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fo,fo,NaN,polaron,Pommier2018_ShearedDryOlivine
Xu1998_DryOlivine,0,1273,1673,4,4,0,91,0,0,0,0,2.69,0.17,162000,4000,0,0,0,0,0,0,0,0,0,fo,fo,NaN,polaron,Xu1998_OlivineRingwooditeWadsleyite
Yoshino2012_DryOlivine_xFe,3,900,1600,1,18,0,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fo,fo,NaN,polaron,Yoshino2012_DryOlivine_xFe
Novella2017_HDiffusion,4,1023,1173,2,2,1,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,fo,fo,NaN,protondiffusion,Novella2017_HDiffusion
Sun2019_HDiffusion,4,1000,1300,3,13,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,fo,fo,NaN,protondiffusion,Sun2019_HDiffusion
DuFrane2012_HDiffusion,4,1023,1173,2,2,1,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,fo,fo,NaN,protondiffusion,DuFrane2012_HDiffusion
Kohlstedt1998_HDiffusion,4,1073,1273,0,0,1,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,fo,fo,NaN,protondiffusion,Kohlstedt1998_HDiffusion
Demouchy2006_HDiffusion,4,1173,1273,0.2,1.5,1,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,fo,fo,NaN,protondiffusion,Demouchy2006_HDiffusion
