StudyName,Type,Tmin,Tmax,Pmin,Pmax,WCalib,Mg#,sigma_i,sigma_i_err,h_i,h_i_err,sigma_pol,sigma_pol_err,h_pol,h_pol_err,sigma_p,sigma_p_err,h_p,h_p_err,r,r_err,alpha_p,alpha_p_err,wtype,dens_mat,mat_ref,comp_ref,mechanisms,reference
Sun2022_Ilmenite,0,773,1273,2,2,0,0,0,0,0,0,2.44,0.01,1000,0,0,0,0,0,0,0,0,0,0,ilm,ilm,NaN,polaron,Sun2022_Olivine_Ilmenite
Manthilake2016_Chlorite_2GPa,0,373,573,2,2,0,62,-3,0,56000,1000,-0.99,0,30000,1000,0,0,0,0,0,0,0,0,0,clin,clin,NaN,ionic+polaron,Manthilake_2016_Chlorite
Manthilake2016_Chlorite_Dehydration,0,823,923,2,2,0,62,0,0,0,0,-1.9208,0,10000,500,0,0,0,0,0,0,0,0,0,clin,clin,NaN,polaron,Manthilake_2016_Chlorite
Reynard2011_SerpentineAntigorite,0,673,773,3,3,0,0,0,0,0,0,2.602,0,115000,0,0,0,0,0,0,0,0,0,0,atg,atg,NaN,polaron,Reynard2011_SerpentineAntigorite
Ono2015_Dolomite_3GPa,0,700,1000,3,3,0,0,0,0,0,0,4.2174,0,161000,1000,0,0,0,0,0,0,0,0,0,cc,cc,NaN,polaron,Ono2015_Dolomite
Ono2015_Dolomite_4.5GPa,0,650,1000,4.5,4.5,0,0,0,0,0,0,4.24303,0,158000,3000,0,0,0,0,0,0,0,0,0,cc,cc,NaN,polaron,Ono2015_Dolomite
Ono2015_Dolomite_6GPa,0,650,1000,6,6,0,0,0,0,0,0,4.40823,0,158000,1000,0,0,0,0,0,0,0,0,0,cc,cc,NaN,polaron,Ono2015_Dolomite
Hu2022_Siderite_1GPa,0,373,673,1,1,0,0,0,0,0,0,0.64,0,49000,2000,0,0,0,0,0,0,0,0,0,cc,cc,NaN,polaron,Hu2022_Siderite
Hu2024_Apatite,3,973,1373,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cc,cc,NaN,polaron,Hu2024_Apatite
Dai2019_Magnetite,0,873,1273,1,3,0,0,0,0,0,0,2.47,0.02,2000,1000,0,0,0,0,0,0,0,0,0,mt,mt,NaN,polaron,Dai2019_Magnetite
Liu2019_Fluorite,0,473,923,1,1,0,0,0,0,0,0,5.34,0.07,130000,1000,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,polaron,Liu2019_Fluorite
