StudyName,Type,Tmin(K),Tmax(K),Pmin(GPa),Pmax(GPa),WCalib,Mg#,sigma_i(log[S/m]),sigma_i_err,h_i(j/mol),h_i_err,sigma_pol(log[S/m]),sigma_pol_err,h_pol(j/mol),h_pol_err,sigma_p(log[S/m]),sigma_p_err,h_p(j/mol),h_p_err,r,r_err,alpha_p(j/mol),alpha_p_err,wtype,dens_ref,mat_ref
Huang2006_OnlyWetRingwoodite,1,1273,1473,14,16,0,92,0,0,0,0,0,0,0,0,3.60959,0,104000,2000,0.69,0.03,0,0,0,fo,fo
Yoshino2008_WetRingwoodite,1,300,2000,20,20,0,92,0,0,0,0,2.9232,0,136000,5000,1.4424,0,112000,3000,1,0,670,0,0,fo,fo
Yoshino2009_DryRingwoodite_Xfe,3,500,1900,20,20,0,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fo,fo
Yoshino2012_DryRingwoodite_Xfe,3,500,1600,15.22,18.79,0,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fo,fo
Xu1998_DryRingwoodite,0,1073,1473,20,20,0,92,0,0,0,0,2.92,0.04,116000,1000,0,0,0,0,0,0,0,0,0,fo,fo
Dai2009_WetWad,1,873,1673,15,15,0,92,0,0,0,0,2.1,0,147000,3000,2.5,0.5,88000,1000,0.72,0.08,0,0,0,fo,fo
Huang2006_OnlyWetWad,1,773,1273,14,16,0,92,0,0,0,0,0,0,0,0,2.57978,0,88000,3000,0.66,0.05,0,0,0,fo,fo
Manthilake2009_WetWad,1,500,2000,16,16,0,84,0,0,0,0,2.60097,0,149000,10000,0.8887,0,68000,3000,1,0,20,0,0,fo,fo
Romano2009_OnlyWetWad,1,1373,1373,16,16,0,92,0,0,0,0,0,0,0,0,1.9268,0.1,66000,0,1.44,0,0,0,0,fo,fo
Yoshino2012_WetWad,1,600,1700,16,16,0,92,0,0,0,0,2.459392,0,145000,2000,1.3979,0,83000,2000,1,0,200,20,0,fo,fo
Yoshino2012b_DryWad,3,800,1600,16.17,18.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fo,fo
Xu1998_DryWad,0,1073,1473,15,15,0,92,0,0,0,0,3.29,0.2,129000,6000,0,0,0,0,0,0,0,0,0,fo,fo
