#ModelName,ModelType,Function1,Pchange(Gpa),Description
Ozaydin2020_Opx1,1,0,0,All opx function continous P-range
Ozaydin2020_Opx2,1,0,3,All opx function derived from all data with two distinct P-ranges
Aubaud2004_Opx,0,8.92,0,Aubaud2004 average single value of opx/ol at 1.5-2 GPa and 1543-1653 K with highly aluminous-opx-cpx-ol-melt assemblage
Demouchy2017_Opx,0,5.6,0,Demouchy2017 average single value of opx/ol at 3 GPa and 1373 K with aluminous-opx-cpx-ol-gt assemblage
Ferot2012_Opx,1,0,0,Ferot2012 - opx P-dependent function
Grant2006_Opx,0,2.52,0,Grant2006 average single value of opx/ol at 1-2 GPa and 1373-1693 K with non-aluminous-opx-ol-melt assemblage
Hauri2006_Opx,0,6.93,0,Hauri2006 average single value of opx/ol at 1.2-1.6 GPa and 1503-1543 K with highly aluminous-opx-cpx-ol-melt assemblage
Koga2003_Opx,0,12,0,Koga2003 single value of opx/ol at 1.8 GPa 1653 K with opx-ol-melt assemblage
Kovacs2012_Opx,0,5.34,0,Kovacs2012 average single value of opx/ol at 2.5-4 GPa and 1273-1448 K with aluminous-opx-cpx-ol-gt-phl-amp assemblage
Kovacs2012_Opx2,1,0,0,Kovacs2012 P-dependent opx/ol function with data from 2.5-4 GPa and 1273-1448 K with aluminous-opx-cpx-ol-gt-phl-amp assemblage
Novella2014_Opx,0,1.91,0,Novella2014 average single value of opx/ol at 6 GPa and 1673 K with aluminous-opx-cpx-ol-gt-melt assemblage
Sakurai2014_Opx,1,0,0,Sakurai2014 Al-dependent function opx/ol with data from 1.5-6 GPa and 1573 K with opx-ol-melt assemblage
Withers2011_Opx1,0,1.505,0,Withers2008 average single value of opx/ol at 8 GPa and 1673 K with non-aluminous-opx-ol-melt assemblage
Withers2011_Opx2,1,0,0,Withers2011 P-dependent function opx/ol with data from 3-6 GPa and 1473 K with non-aluminous-opx-ol-melt assemblage
